Denominación,ER Referencia eroski,ER Area,ER sec,ER cat,ER subcat,ER segmento,ER Producto,ER Marca,ER Referencia eroski,ER Formato,ER Gramaje,ER Gramaje en miles,ER Unidades,ER Unidad medida,ER Origen,ER Variedad,ER Calibre,PVP tarifa eroski,PVP oferta eroski tienda,ER Precio/kg o precio/unidad,ER Precio/kg o precio/unidad oferta,ER Código ean,Venta media Eroski,ER Tipo de promoción,PVP oferta eroski HORECA,PVP oferta eroski HORECA PRECIO/KG,ER Oferta HORECA,Distance,Ref competidor,Den competidor,Marca competidor,Cod ean del competidor,Formato,Gramaje,Unidad de medida,Gramaje unitario en miles,Unidades,Gramaje total,Origen,Variedad,Calibre,PVP tarifa competidor,PVP oferta 1 competidor,PVP oferta 2 competidor,Precio/kg o precio/unidad,Precio/kg o precio/unidad oferta 1,Precio/kg o precio/unidad oferta 2,Tipo de promo 1 en %,Tipo de promo,dif bruto del mejor precio (nuestro vs competencia) incl HORECA,dif bruto del mejor precio (nuestro vs competencia) sin dto HORECA,dIf porcentual mejor precio sin Horeka,dif porcentual del mejor precio (nuestro vs competencia) incl HORECA,dif porcentual de tarifa (nuestra tarifa vs tarifa competencia),dif porcentual del mes anterior (dato del mes anterior),dif media del registro historico de meses anteriores
"Leche desnatada LACTURALE, brik 1 litro",11754470,2-ALIMENTACION,5-LACTEOS,3-LECHE,1-LECHE LARGA VIDA UHT,3-LECHE UHT DESNATADA,"Leche desnatada LACTURALE, brik 1 litro",LACTURALE,11754470,BRIK,1,1000,1,L,,,,"1,27",,"1,27",,,"29,69",,"1,21","1,21",5%," 'distance': 2,4638853073120117",110169,'Lacturale leche desnatada 1 L contiene  6 unidades',LACTURALE,,PACK,"1,00",L,1000,6,6000,,,,"6,96",,,"1,16",,,,,"0,05","0,11",9%,4%,9%,10%,7%
"Leche entera LACTURALE, brik 1 litro",11752524,2-ALIMENTACION,5-LACTEOS,3-LECHE,1-LECHE LARGA VIDA UHT,1-LECHE UHT ENTERA,"Leche entera LACTURALE, brik 1 litro",LACTURALE,11752524,BRIK,1,1000,1,L,,,,"1,27",,"1,27",,,"104,3",,"1,21","1,21",5%," 'distance': 1,5376152992248535",110167,'Lacturale leche entera brik 1 L contiene 6 unidades',LACTURALE,,PACK,"1,00",L,1000,6,6000,,,,"6,96",,,"1,16",,,,,"0,05","0,11",9%,4%,9%,10%,7%
"Leche semidesnatada LACTURALE, brik 1 litro",11754462,2-ALIMENTACION,5-LACTEOS,3-LECHE,1-LECHE LARGA VIDA UHT,2-LECHE UHT SEMIDESNATADA,"Leche semidesnatada LACTURALE, brik 1 litro",LACTURALE,11754462,BRIK,1,1000,1,L,,,,"1,27",,"1,27",,,"63,76",,"1,21","1,21",5%," 'distance': 3,211979389190674",110168,Lacturale leche semidesnatada  1 L contiene 6 unidades,LACTURALE,,PACK,1,L,1000,6,6000,,,,"6,96",,,"1,16",,,,,"0,05","0,11",9%,4%,9%,10%,7%
"Pacharán IGP Navarra LA NAVARRA, botella 1 litro",3209202,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,15-PATXARAN Y PONCHE,"2-PATXARAN CON I,G,P,","Pacharán IGP Navarra LA NAVARRA, botella 1 litro",LA NAVARRA,3209202,BOTELLA,1,1000,1,L,,,,"10,95",,"10,95",,,"0,73",,"9,31","9,31",15%," 'distance': 1,233257532119751",202163,La Navarra pacharán botella 1L',LA NAVARRA,,BOTELLA,"1,00",L,1000,1,1000,,,,"10,95",,,"10,59",,,,,"-1,28","0,36",3%,-14%,3%,9%,6%
"Salchichón extra EROSKI basic, al corte, compra mínima 100 g",4292355,1-FRESCOS,4-CHARCUTERIA,2-CARNICOS MOSTRADOR,4-EMBUTIDOS MOSTRADOR,7-SALCHICHON VELA MOSTRADOR,"Salchichón extra EROSKI basic, al corte, compra mínima 100 g",EROSKI BASIC,4292355,KILO,"0,1",100,1,KG,,,,"1,17",,"11,70",,,"0,09",,"0,88","8,78",25%," 'distance': 0,5374473333358765",132096,makro Chef salchichón extra,MAKRO CHEF,,KILO,"1,6",KG,1600,1,1600,,,,"11,06",,,"11,06",,,,,"-2,29","0,64",5%,-26%,5%,5%,5%
"Cerveza Pilsen ESTRELLA GALICIA, pack botellín 6x33 cl",19869262,2-ALIMENTACION,11-BEBIDAS,8-CERVEZAS,6-CERVEZAS EXTRA,1-CERVEZAS EXTRA BOTELLA,"Cerveza Pilsen ESTRELLA GALICIA, pack botellín 6x33 cl",ESTRELLA GALICIA,19869262,PACK,"1,98",1980,1,L,España,,,"6,09",,"3,08",,,"0,73",,"4,57","2,31",25%," 'distance': 2,835690975189209",204172,'La Estrella De Galicia cerveza 33cl contiene 6 botellas',LA ESTRELLA DE GALICIA,,PACK,"0,33",L,330,6,1980,,,,"5,67","5,10",,"2,86","2,58",,10%,COMPRA MAS PAGA MENOS,"-0,27","0,50",16%,-12%,7%,5%,5%
"Vino Tinto Crianza D,O, Rioja EL COTO, botellín 37,5 cl",120279,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"9-VINOS D,O, TINTOS","53-VINO TINTO D,O, RIOJA CRIANZA","Vino Tinto Crianza D,O, Rioja EL COTO, botellín 37,5 cl",EL COTO,120279,BOTELLÍN,"0,375",375,1,L,,,,"4,29",,"11,44",,,"0,23",,"3,65","9,72",15%," 'distance': 1,015179991722107",619892,'El Coto vino tinto crianza Rioja botella 37,EL COTO,,BOTELLA,"0,38",L,375,1,375,,,,"4,22",,,"11,25",,,,,"-1,53","0,19",2%,-16%,2%,2%,4%
"Leche entera ASTURIANA, botella 1,5 litros",203562,2-ALIMENTACION,5-LACTEOS,3-LECHE,3-LECHE LARGA VIDA BOTELLA,1-LECHE BOTELLA ENTERA,"Leche entera ASTURIANA, botella 1,5 litros",ASTURIANA,203562,BOTELLA,"1,5",1500,1,L,España,,,"1,94",,"1,29",,,"43,69",,"1,84","1,23",5%," 'distance': 1,9625651836395264",110188,'Central Lechera Asturiana leche entera botella 1,CENTRAL LECHERA ASTURIANA,,PACK,"1,50",L,1500,6,9000,,,,"10,29",,,"1,14",,,,,"0,09","0,15",12%,7%,12%,11%,8%
"Vino Tinto Reserva D,O,C Rioja Alavesa LUIS CAÑAS, botella 75 cl",23629934,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"9-VINOS D,O, TINTOS","54-VINO¿TINTO¿D,O,¿RIOJA¿RVA-GRVA","Vino Tinto Reserva D,O,C Rioja Alavesa LUIS CAÑAS, botella 75 cl",LUIS CAÑAS,23629934,BOTELLA,"0,75",750,1,L,España,,,"18,90",,"25,20",,,"0,07",,"16,07","21,42",15%," 'distance': 0,8817422389984131",8518,Luis Cañas vino tinto reserva botella 75cl',LUIS CAÑAS,,BOTELLA,"0,75",L,750,1,750,,,,"17,41","15,67",,"23,21","20,89",,10%,COMPRA MAS PAGA MENOS,"0,53","4,31",17%,2%,8%,8%,6%
"Chorizo tradición REVILLA, bandeja 65 g",25005844,1-FRESCOS,4-CHARCUTERIA,"6-CURADOS, EMBUT. E IBERICOS",4-EMBUTIDOS PORCION,2-CHORIZO VELA PORCION,"Chorizo tradición REVILLA, bandeja 65 g",REVILLA,25005844,BANDEJA,"0,065",65,1,KG,España,,,"1,00",,"15,38",,,"5,5",,"0,90","13,85",10%," 'distance': 2,2159152030944824",220698,Revilla chorizo extra tradición',REVILLA,,KILO,"1,90",KG,1900,1,1900,,,,"12,93",,,"6,81",,,,,"7,04","8,58",56%,51%,56%,6%,6%
"Vino Blanco Verdejo RAMÓN BILBAO, botella 75 cl",19761584,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"5-VINOS D,O,BLANCOS","67-VINO BLANCO D,O, RUEDA","Vino Blanco Verdejo RAMÓN BILBAO, botella 75 cl",RAMON BILBAO,19761584,BOTELLA,"0,75",750,1,L,España,,,"8,79",,"11,72",,,"0,07",,"7,47","9,96",15%," 'distance': 0,3430224359035492",148847,Ramón Bilbao vino blanco Verdejo botella 75 cl',RAMÓN BILBAO,,BOTELLA,"0,75",L,750,1,750,,,,"7,37","6,71",,"9,83","8,94",,9%,COMPRA MAS PAGA MENOS,"1,02","2,78",24%,10%,16%,19%,10%
"Croquetas de jamón ibérico LA COCINA DE SENÉN, caja 200 g",20328365,2-ALIMENTACION,3-CONGELADOS,5-PLATOS PREPARADOS CONGELADOS,3-FRITOS,8-CROQUETAS¿JAMON,"Croquetas de jamón ibérico LA COCINA DE SENÉN, caja 200 g",LA COCINA DE SENÉN,20328365,CAJA,"0,2",200,1,KG,,,,"4,35",,"21,75",,,"1,8",,"3,92","19,58",10%," 'distance': 3,91441011428833",142816,La Cocina Del Norte suprema de jamón iberico 450 g',LA COCINA DEL NORTE,,TARRINA,"0,45",KG,450,1,450,,,,"9,23","7,94",,"20,51","17,64",,14%,COMPRA MAS PAGA MENOS,"1,94","4,11",19%,10%,6%,6%,6%
"Cerveza sin filtrar EL AGUILA, lata 33 cl",22296230,2-ALIMENTACION,11-BEBIDAS,8-CERVEZAS,1-CERVEZAS LAGER,5-CERVEZAS LAGER LATA,"Cerveza sin filtrar EL AGUILA, lata 33 cl",EL AGUILA,22296230,LATA,"0,33",330,1,L,España,,,"0,95",,"2,88",,,"14,11",,"0,71","2,16",25%," 'distance': 1,9968301057815552",183440,'El Aguila cerveza sin filtrar 33cl contiene 24 latas',EL AGUILA,,LATA,"0,33",L,330,24,7920,,,,"18,14",,,"2,29",,,,,"-0,13","0,59",20%,-6%,20%,20%,10%
"Vino Blanco Rioja MARQUÉS DE CÁCERES, botella 75 cl",112854,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"5-VINOS D,O,BLANCOS","66-VINO BLANCO D,O, RIOJA","Vino Blanco Rioja MARQUÉS DE CÁCERES, botella 75 cl","MARQ,CACERES",112854,BOTELLA,"0,75",750,1,L,España,,,"5,70","5,36","7,60","7,14",,"0,69",6%,"4,55","6,07",15%," 'distance': 0,5897769927978516",903175,Marqués De Cáceres vino blanco Denominación de Origen Rioja botella 75cl',MARQUÉS DE CÁCERES,,BOTELLA,"0,75",L,750,1,750,,,,"5,31","4,57",,"7,08","6,09",,14%,COMPRA MAS PAGA MENOS,"-0,02","1,06",15%,0%,7%,1%,4%
"Vodka GREY GOOSE, botella 70 cl",14007876,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,7-VODKA,15-VODKA PREMIUM,"Vodka GREY GOOSE, botella 70 cl",GREY GOOSE,14007876,BOTELLA,"0,7",700,1,L,Francia,,,"54,99",,"78,56",,,0,,"46,74","66,77",15%," 'distance': 1,9808505773544312",45652,"GREY GOOSE vodka botella 70cl Alc, 38% vol,'",GREY GOOSE,,BOTELLA,"0,70",L,700,1,700,,,,"54,39",,,"77,70",,,,,"-10,93","0,86",1%,-16%,1%,1%,5%
"Brandy VETERANO, botella 1 litro",315366,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,11-BRANDY,1-BEBIDA ESPIRITUOSA,"Brandy VETERANO, botella 1 litro",VETERANO,315366,BOTELLA,1,1000,1,L,,,,"9,49","8,92","9,49","8,92",,"0,92",6%,"7,58","7,58",15%," 'distance': 2,123650550842285",76674,'Veterano bebida espirituosa brandy botella 1L',VETERANO,,BOTELLA,"1,00",L,1000,1,1000,,,,"9,06",,,"8,94",,,,,"-1,36","-0,02",0%,-18%,6%,6%,5%
"Ginebra light BEEFEATER, botella 70 cl",24118705,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,19-LICORES S/ALCOHOL,7-LICOR BAJO EN ALCOHOL,"Ginebra light BEEFEATER, botella 70 cl",BEEFEATER,24118705,BOTELLA,"0,7",700,1,L,,,,"15,65","14,40","22,36","20,57",,"0,03",8%,"12,24","17,48",15%," 'distance': 0,014558251015842",200904,BEEFEATER light ginebra 20º botella 70 cl,BEEFEATER,,BOTELLA,"0,7",L,700,1,700,,,,"13,18",,,"18,83",,,,,"-1,35","1,74",8%,-8%,16%,8%,6%
"Whisky BALLANTINES, botella 70 cl",315713,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,13-WHISKY,3-WHISKY¿STANDARD,"Whisky BALLANTINES, botella 70 cl",BALLANTINES,315713,BOTELLA,"0,7",700,1,L,Reino Unido,,,"13,95","12,97","19,93","18,53",,"1,15",7%,"11,03","15,75",15%," 'distance': 2,1188299655914307",200905,"""Ballantine's Light whisky 20º botella 70 cl Alc, 20% vol,""",BALLANTINE'S,,BOTELLA,"0,70",L,700,1,700,,,,"12,93",,,"18,47",,,,,"-2,72","0,06",0%,-17%,7%,3%,5%
"Jamón curado NAVIDUL, sobre 96 g",10918225,1-FRESCOS,4-CHARCUTERIA,"6-CURADOS, EMBUT. E IBERICOS",3-CURADOS PORCION,2-JAMON CURADO PORCION,"Jamón curado NAVIDUL, sobre 96 g",NAVIDUL,10918225,SOBRE,"0,096",96,1,KG,España,,,"2,00",,"20,83",,,"1,82",,"1,80","18,75",10%," 'distance': 1,260866641998291",116782,NAVIDUL jamón curado loncheado sobre de 50 g',NAVIDUL,,SOBRE,"0,05",KG,50,1,50,,,,"0,98",,,"19,60",,,,,"-0,85","1,23",6%,-5%,6%,-5%,2%
"Champagne Brut MOET&CHANDON, botella 75 cl",312751,2-ALIMENTACION,11-BEBIDAS,16-ESPUMOSOS,1-ESPUMOSOS ORIGEN EXTRANJERO,1-CHAMPAGNES,"Champagne Brut MOET&CHANDON, botella 75 cl",MOET & CHANDON,312751,BOTELLA,"0,75",750,1,L,,,,"44,95",,"59,93",,,"0,23",,"35,96","47,95",20%," 'distance': 0,6741299629211426",72956,MOET & CHANDON champagne brut imperial botella 75cl',MOET & CHANDON,,BOTELLA,"0,75",L,750,1,750,,,,"37,45",,,"49,93",,,,,"-1,99","10,00",17%,-4%,17%,6%,5%
Media pechuga de pavo al vacío EROSKI bandeja aprox. 800 g,16904740,1-FRESCOS,2-CARNICERIA,72-PAVO Y OTRAS AVES ENVASADO,5-PAVO ENVASADO AVES,5-PAVO¿FRESCO,Media pechuga de pavo al vacío EROSKI bandeja aprox. 800 g,EROSKI,16904740,BANDEJA,"0,8",800,1,KG,,,,"7,56",,"9,45",,,"1,04",,"6,80","8,51",10%," 'distance': 0,61202085018158",218823,Pechuga pavo vacío,MAKRO CHEF,,KILO,"1,05",KG,1050,1,1050,,,,"9,77",,,"9,3",,,,,"-0,80","0,15",2%,-9%,2%,7%,6%
"Vinagre de vino blanco YBARRA, botella 1 litro",20167102,2-ALIMENTACION,9-COCINA,2-VINAGRES Y ADEREZOS,5-VINAGRES DE VINO,10-VINAGRES DE VINO 1L,"Vinagre de vino blanco YBARRA, botella 1 litro",YBARRA,20167102,BOTELLA,1,1000,1,L,,,,"1,25",,"1,25",,,"1,76",,"1,13","1,13",10%," 'distance': 2,1463170051574707",77685,'Ybarra vinagre de vino blanco en pet de 1l',YBARRA,,BOTELLA,"1,00",L,1000,1,1000,,,,"1,09",,,"1,09",,,,,"0,03","0,16",13%,3%,13%,2%,5%
"Licor THUNDER BITCH, botella 70 cl",19659572,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,17-LICORES CON ALCOHOL,15-LICOR BASE WHISKY,"Licor THUNDER BITCH, botella 70 cl",THUNDER BITCH,19659572,BOTELLA,"0,7",700,1,L,,,,"16,35",,"23,36",,,0,,"13,90","19,85",15%," 'distance': 0,371599942445755",157831,'Thunder Bitch licor botella 70cl',THUNDER BITCH,,BOTELLA,"0,70",L,700,1,700,,,,"16,52",,,"23,60",,,,,"-3,75","-0,24",-1%,-19%,-1%,3%,5%
BEBIDA DE SOJA ALPRO 1L C/6,24879348,2-ALIMENTACION,5-LACTEOS,3-LECHE,6-PREPARADOS VEGETALES,1-BEBIDA DE SOJA,24879348-BEBIDA DE SOJA ALPRO 1L C/6,ALPRO,24879348,BRIK,1,1000,1,L,,,,"1,99",,"1,99",,,"3,9",,"1,89","1,89",5%," 'distance': 0,277351349592209",207256,alpro bebida soja brick 1 L,ALPRO,,PACK,1,L,1000,6,6000,,,,"1,93",,,"1,93",,,,,"-0,04","0,06",3%,-2%,3%,3%,6%
"Solomillo de añojo, bandeja aprox, 300 g",9504788,1-FRESCOS,2-CARNICERIA,61-VACUNO ENVASADO,3-VACUNO AÑOJO ENVASADO,2-AÑOJO LOMO ENVASADO,"Solomillo de añojo, bandeja aprox, 300 g",EROSKI,9504788,BANDEJA,"0,3",300,1,KG,,,,"12,29",,"40,97",,,"1,3",,"9,22","30,73",25%," 'distance': 0,775836825370789",195736,makro Chef Solomillo añojo al vacio precio kg,MAKRO CHEF,,PIEZA,1,KG,1000,1,1000,,,,"39,55",,,"39,55",,,,,"-8,83","1,42",3%,-29%,3%,6%,6%
"Orejas de cerdo EROSKI bandeja aprox, 600 g",11184546,1-FRESCOS,2-CARNICERIA,62-PORCINO ENVASADO,1-PORCINO BLANCO ENVASADO,11-DESPOJO BLANCO ENVASADO,"Orejas de cerdo EROSKI bandeja aprox, 600 g",EROSKI,11184546,BANDEJA,"0,6",600,1,KG,,,,"4,19",,"6,98",,,"2,55",,"3,98","6,63",5%," 'distance': 3,1757748126983643",183541,'Oreja de cerdo bandeja precio kg',MAKRO CHEF,,KILO,"1,00",KG,1000,1,1000,,,,"6,55",,,"6,55",,,,,"0,08","0,43",6%,1%,6%,6%,6%
"Jerez Fino TIO PEPE, botella 75 cl",317966,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,13-VINOS¿DULCES¿Y GENEROSOS,10-FINO,"Jerez Fino TIO PEPE, botella 75 cl",TIO PEPE,317966,BOTELLA,"0,75",750,1,L,España,,,"7,59","6,83","10,12","9,11",,"0,26",10%,"5,81","7,74",15%," 'distance': 1,3797247409820557",60398,Tio Pepe vino fino Jerez botella 75cl',TIO PEPE,,BOTELLA,"0,75",L,750,1,750,,,,"7,01",,,"9,35",,,,,"-1,60","-0,24",-3%,-21%,8%,5%,6%
30 PLATOS CARTON 23 CM BLANCOS C,24598054,4-BAZAR,20-MENAJE,7-DESECHABLE,1-PLATOS DESECHABLES,1-PLATOS BLANCOS,30 PLATOS CARTON 23 CM BLANCOS C,GABBIANO,24598054,PACK,1,1000,30,UDS,,,,"2,95",,"0,10",,,"1,23",,"2,21","2,21",25%," 'distance': 0,467357277870178",207981,METRO PROFESSIONAL Plato cartón 23 cm 100 unidades,METRO PROFESSIONAL,,BOLSA/BOLSON,0,UDS,0,100,0,,,,"9,38","8,07",,"0,09","0,08",,14%,COMPRA MAS PAGA MENOS,"0,02","0,02",19%,19%,6%,6%,6%
"Leche desnatada ASTURIANA, botella 1,5 litros",203927,2-ALIMENTACION,5-LACTEOS,3-LECHE,3-LECHE LARGA VIDA BOTELLA,3-LECHE BOTELLA DESNATADA,"Leche desnatada ASTURIANA, botella 1,5 litros",ASTURIANA,203927,BOTELLA,"1,5",1500,1,L,España,,,"1,76",,"1,17",,,"16,19",,"1,67","1,11",5%," 'distance': 2,0603177547454834",110292,'Central Lechera Asturiana leche desnatada 1,CENTRAL LECHERA ASTURIANA,,PACK,"1,50",L,1500,6,9000,,,,"9,93",,,"1,10",,,,,"0,01","0,07",6%,1%,6%,6%,6%
"Falda de cordero del País, al corte, compra mínima 650 g",886374,1-FRESCOS,2-CARNICERIA,75-VITRINA,24-CORDERO RECENTAL VITRINA,15-DESPIECE RECENTAL VITRINA,"Falda de cordero del País, al corte, compra mínima 650 g",EROSKI,886374,GRANEL,"0,65",650,1,KG,,,,"7,44",,"11,45",,,,,,,," 'distance': 0,941644608974457",65684,Falda de cordero precio kg,MAKRO CHEF,,KILO,"1,00",KG,1000,1,1000,,,,"10,73",,,"10,73",,,,,"0,72","0,72",6%,6%,6%,6%,6%
"Mantequilla sin sal KERRYGOLD, pastilla 200 g",24107559,2-ALIMENTACION,5-LACTEOS,14-MANTEQUILLAS Y MARGARINAS,1-MANTEQUILLA,1-MANTEQUILLA PASTILLA,"Mantequilla sin sal KERRYGOLD, pastilla 200 g",KERRYGOLD,24107559,PASTILLA,"0,2",200,1,KG,,,,"4,49",,"22,45",,,"0,96",,"3,82","19,08",15%," 'distance': 1,7820072174072266",200501,'Kerrygold mantequilla sin sal 200 g',KERRYGOLD,,UNIDAD,"0,20",KG,200,1,200,,,,"4,28","3,64",,"21,40","18,19",,15%,COMPRA MAS PAGA MENOS,"0,89","4,26",19%,5%,5%,0%,3%
"Mantequilla con sal KERRYGOLD, pastilla 200 g",24107625,2-ALIMENTACION,5-LACTEOS,14-MANTEQUILLAS Y MARGARINAS,1-MANTEQUILLA,1-MANTEQUILLA PASTILLA,"Mantequilla con sal KERRYGOLD, pastilla 200 g",KERRYGOLD,24107625,PASTILLA,"0,2",200,1,KG,,,,"4,49",,"22,45",,,"1,38",,"3,82","19,08",15%," 'distance': 1,7667447328567505",200502,'Kerrygold  mantequilla con sal 200 g',KERRYGOLD,,UNIDAD,"0,20",KG,200,1,200,,,,"4,28","3,64",,"21,40","18,19",,15%,COMPRA MAS PAGA MENOS,"0,89","4,26",19%,5%,5%,0%,3%
"Chocolate 82% con almendras VALOR, tableta 250 g",22379671,2-ALIMENTACION,10-DULCE,14-CHOCOLATES,5-CHOCOLATE NEGRO,10-CHOCO NEGRO C/ALMENDRAS,"Chocolate 82% con almendras VALOR, tableta 250 g",VALOR,22379671,TABLETA,"0,25",250,1,KG,,,,"6,85",,"27,40",,,"7,65",,,,," 'distance': 2,3230743408203125",184593,'Chocolates Valor 70% con almendras 250g',CHOCOLATES VALOR,,UNIDAD,"0,25",KG,250,1,250,,,,"6,55",,,"26,20",,,,,"1,20","1,20",4%,4%,4%,4%,6%
Tagliatelle al huevo EROSKI bolsa 250 g,19841121,1-FRESCOS,14-SOLUCIONES CULINARIAS,35-DISFRUTA COCINANDO,20-PASTA FRESCA,2-PASTA FRESCA LISA,Tagliatelle al huevo EROSKI bolsa 250 g,EROSKI,19841121,BOLSA,"0,25",250,1,KG,Italia,,,"1,2",,"4,80",,,"7,46",,,,," 'distance': 5,317789077758789",183117,'makro Chef tagliatelle fresco al huevo bolsa 1kg',MAKRO CHEF,,BOLSA/BOLSON,"1,00",KG,1000,1,1000,,,,"4,61","3,92",,"4,61","3,92",,15%,COMPRA MAS PAGA MENOS,"0,88","0,88",18%,18%,4%,6%,6%
"Atún en aceite de girasol CALVO, lata 160 g",16035909,2-ALIMENTACION,8-SALADO,23-CONSERVAS DE PESCADO,1-ATUN CLARO,20-ATUN CLARO EN ACEITE GIRASOL,"Atún en aceite de girasol CALVO, lata 160 g",CALVO,16035909,LATA,"0,16",160,1,KG,España,,,"2,29",,"14,31",,,"0,03",,"2,06","12,88",10%," 'distance': 0,8830481171607971",162366,Calvo atún en aceite de girasol lata 325gne (500 g)',CALVO,,LATA,"0,50",KG,500,1,500,,,,"6,70",,,"13,40",,,,,"-0,52","0,91",6%,-4%,6%,6%,7%
"Cuello de cordero del País, al corte, compra mínima 500 g",886291,1-FRESCOS,2-CARNICERIA,75-VITRINA,24-CORDERO RECENTAL VITRINA,15-DESPIECE RECENTAL VITRINA,"Cuello de cordero del País, al corte, compra mínima 500 g",EROSKI,886291,GRANEL,"0,5",500,1,KG,,,,"5,73",,"11,46",,,,,,,," 'distance': 1,09396553039551",65683,Cuello de cordero precio kg,MAKRO CHEF,,KILO,"1,30",KG,1300,1,1300,,,,"15,67",,,"12,05",,,,,"-0,59","-0,59",-5%,-5%,-5%,6%,6%
"Cerveza clásica MAHOU, botella 1 litro",465716,2-ALIMENTACION,11-BEBIDAS,8-CERVEZAS,1-CERVEZAS LAGER,1-CERVEZAS LAGER BOTELLA,"Cerveza clásica MAHOU, botella 1 litro",MAHOU CLÁSICA,465716,BOTELLA,1,1000,1,L,España,,,"1,82",,"1,82",,,"1,42",,"1,37","1,37",25%," 'distance': 1,3928309679031372",358852,Mahou cerveza Clásica 1L contiene 6 botellas',MAHOU,,BOTELLA,"1,00",L,1000,6,6000,,,,"8,58","7,81",,"1,43","1,30",,9%,COMPRA MAS PAGA MENOS,"0,06","0,52",29%,5%,21%,8%,7%
"Bebida de avena sin azúcar ALPRO, brik 1 litro",24879397,2-ALIMENTACION,5-LACTEOS,3-LECHE,6-PREPARADOS VEGETALES,3-BEBIDA DE AVENA,"Bebida de avena sin azúcar ALPRO, brik 1 litro",ALPRO,24879397,BRIK,1,1000,1,L,Francia,,,"1,99","1,79","1,99","1,79",,"14,16",10%,"1,70","1,70",5%," 'distance': 3,30364990234375",212683,'alpro bebida de avena sin azucar 1L contiene 6 unidades',ALPRO,,BRICK,"1,00",L,1000,6,6000,,,,"11,17","10,16",,"1,86","1,69",,9%,COMPRA MAS PAGA MENOS,"0,01","0,10",5%,0%,6%,6%,6%
Leche semidesnatada sin lactosa EROSKI brik 1 litro,14879274,2-ALIMENTACION,5-LACTEOS,3-LECHE,4-LECHE SIN LACTOSA,10-LECHE SIN LACTOSA SEMIDESNTADA,Leche semidesnatada sin lactosa EROSKI brik 1 litro,EROSKI,14879274,BRIK,1,1000,1,L,,,,"0,96",,"0,96",,,70,,"0,91","0,91",5%," 'distance': 0,42169129848480225",199294,makro Chef leche semi sin lactosa brik 1 L contiene 6 unidades,MAKRO CHEF,,CAJA/CAJON,1,L,1000,6,6000,,,,"5,71",,,"0,87",,,,,"0,04","0,09",9%,5%,9%,9%,7%
"Ginebra RIVES, botella 1 litro",6302285,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,3-GINEBRA,3-GINEBRA ESTANDAR,"Ginebra RIVES, botella 1 litro",RIVES,6302285,BOTELLA,1,1000,1,L,España,,,"11,89",,"11,89",,,0,,"10,11","10,11",15%," 'distance': 0,9638290405273438",76167,'Rives ginebra botella 1L',RIVES,,BOTELLA,"1,00",L,1000,1,1000,,,,"12,16",,,"12,16",,,,,"-2,05","-0,27",-2%,-20%,-2%,6%,6%
Espirales con vegetales EROSKI paquete 500 g,2685899,2-ALIMENTACION,9-COCINA,13-PASTAS,1-PASTA ENSALADAS,3-HELICES Y ESPIRALES ENSALADAS,Espirales con vegetales EROSKI paquete 500 g,EROSKI,2685899,PAQUETE,"0,5",500,1,KG,,,,"0,80",,"1,60",,,"9,26",,"0,68","1,36",15%," 'distance': 3,6123414039611816",212781,'aro espirales con vegetales paquete 5kg',ARO,,PAQUETE,"5,00",KG,5000,1,5000,,,,"7,58",,,"1,52",,,,,"-0,16","0,08",5%,-11%,5%,3%,7%
"Masa de hojaldre rectangular BUITONI, paquete 230 g",16546491,1-FRESCOS,14-SOLUCIONES CULINARIAS,35-DISFRUTA COCINANDO,30-MASAS REFRIGERADAS,"2-MASAS REFRIG,HOJALDRES","Masa de hojaldre rectangular BUITONI, paquete 230 g",BUITONI,16546491,PAQUETE,"0,23",230,1,KG,Suiza,,,"1,95",,"8,48",,,"4,26",,,,," 'distance': 2,133370876312256",135699,'Buitoni masa hojaldre rectangular 230g',BUITONI,,BANDEJA,"0,23",KG,230,1,230,,,,"1,86",,,"8,09",,,,,"0,39","0,39",5%,5%,5%,7%,7%
"Zumo de manzana GRANINI, botellín 33 cl",24154957,2-ALIMENTACION,11-BEBIDAS,6-ZUMOS Y NECTARES,5-ZUMO Y NECTAR TO GO,3-ZUMO Y NECTAR TO GO PREMIUM,"Zumo de manzana GRANINI, botellín 33 cl",GRANINI,24154957,BOTELLÍN,"0,33",330,1,L,,,,"1,55",,"4,70",,,"1,23",,,,," 'distance': 1,9686610698699951",201969,'GRANINI Zumo de manzana 20cl,GRANINI,,BOTELLA,"0,20",L,200,24,4800,,,,"22,43","20,19",,"4,67","4,21",,10%,COMPRA MAS PAGA MENOS,"0,49","0,49",10%,10%,1%,1%,4%
